feature,var,acc
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'dam', 'moa', 'dit', 'ce' ",0.020080853090163327,0.783268078334212
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'dam', 'moa', 'dit', 'ic' ",0.020652404098585,0.7845401711551296
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'dam', 'moa', 'dit', 'cbm' ",0.020610968124496563,0.7849313424778502
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'dam', 'moa', 'dit', 'amc' ",0.01968738730986453,0.7850353413352392
"'loc', 'mfa', 'cam', 'lcom', 'ca', 'cbo', 'lcom3', 'npm', 'avg_cc', 'dam', 'moa', 'dit', 'max_cc' ",0.020340247085109214,0.7846133686103908
'lcom3' ,0.02069945176767932,0.6119598888881943
'dam' ,0.02329831930650469,0.569670776616177
'noc' ,0.02427684669226496,0.5168487319550333
'cam' ,0.01877878816719633,0.6443827328141626
'amc' ,0.011175091673826038,0.6567674379554089
'cbo' ,0.019054053573623823,0.6106008000326378
'cbm' ,0.023181642264042457,0.5488264529602411
'max_cc' ,0.019662268752006898,0.6115214256992518
'dit' ,0.022258693260115002,0.5624319094806574
'npm' ,0.021038547185786925,0.6128061230482212
'moa' ,0.02427754065820936,0.5523920611684197
'ic' ,0.0237203099271921,0.5403612058183909
'lcom' ,0.020785468374234947,0.6112061457567848
'ca' ,0.022309216460836948,0.5586509003002513
'loc' ,0.013484545174869904,0.6663103477154404
'avg_cc' ,0.019573840243702626,0.6288464412456856
'rfc' ,0.011875162949334848,0.643620558832876
'mfa' ,0.019202479181652986,0.6250700161480154
'ce' ,0.0162901468177104,0.6033162457193487
"'loc', 'cbm' ",0.01833309371945618,0.6924247482133208
"'ce', 'npm' ",0.01866434700174866,0.6792073837177305
"'noc', 'cam' ",0.021527817429730645,0.6474173288901527
"'dit', 'rfc' ",0.017066928104724925,0.6773249304330691
"'npm', 'avg_cc' ",0.020306193714744777,0.6622831972062903
"'lcom', 'amc' ",0.015980280024030492,0.704958449234371
"'moa', 'cbm' ",0.02372959146112591,0.5893493835452249
"'dit', 'ce' ",0.0192744200389127,0.6473194594644147
"'lcom', 'max_cc' ",0.020223868563120924,0.6526286898830298
"'ce', 'loc' ",0.014887345996290153,0.6897712088529351
"'rfc', 'ce' ",0.014082654883522625,0.6771491514028598
"'loc', 'avg_cc' ",0.016529192709286267,0.698671533775005
"'npm', 'dam' ",0.022168433246145806,0.6415925756631452
"'cbo', 'ca' ",0.020681635017230388,0.6351115032999133
"'loc', 'mfa' ",0.016343512178261445,0.7117291817057029
"'cbo', 'loc' ",0.016269299374246864,0.6935565873773821
"'moa', 'avg_cc' ",0.021925690450955992,0.6407899033841324
"'npm', 'cam' ",0.019908667676491628,0.6702557412449345
"'cam', 'cbm' ",0.020980215215619394,0.66296752147188
"'dit', 'cbo' ",0.020656373416869413,0.6531422937769742
"'ca', 'npm' ",0.02167388182331194,0.6379635981844105
"'mfa', 'amc' ",0.015188785427739512,0.6978538158303232
"'lcom3', 'cbm' ",0.021940547015860887,0.6459825163415344
"'ca', 'ic' ",0.023014763194014524,0.5849221615973816
"'cbo', 'mfa' ",0.019128266377638405,0.684613057404199
"'dit', 'cbm' ",0.02272016776207873,0.5893505075885059
"'dam', 'ic' ",0.023509314616848395,0.5972414862936133
"'noc', 'mfa' ",0.021739662936958972,0.6298364960873488
"'lcom', 'ce' ",0.018537807595972674,0.6740252115705737
"'ce', 'amc' ",0.01373261924576822,0.6805880613969959
"'lcom3', 'moa' ",0.02248849621294434,0.6207393919946173
"'mfa', 'max_cc' ",0.019432373966829942,0.6699385223653999
"'rfc', 'cbm' ",0.017528402606688653,0.6750433890352134
"'dit', 'moa' ",0.02326811695916218,0.6035747368425853
"'cam', 'avg_cc' ",0.019176314205449477,0.6795036751597792
"'ce', 'max_cc' ",0.01797620778485865,0.65669299672126
"'lcom3', 'avg_cc' ",0.020136646005690973,0.6656362274012521
"'rfc', 'moa' ",0.018076351803772102,0.6551169060099582
"'moa', 'cam' ",0.021528164412702847,0.6499495926947747
"'ca', 'lcom3' ",0.021504334114258134,0.6315577639576716
"'lcom3', 'mfa' ",0.019950965474666155,0.6783830236085956
"'dit', 'avg_cc' ",0.020916266751908816,0.6477689675155011
"'ic', 'amc' ",0.01744770080050907,0.6680753944334868
"'ce', 'ic' ",0.02000522837245125,0.6282009143768514
"'rfc', 'avg_cc' ",0.01572450159651874,0.6882969022665535
"'npm', 'mfa' ",0.020120513183719956,0.6821482315349089
"'lcom', 'cbm' ",0.021983555319138703,0.6400785893415033
"'cbm', 'avg_cc' ",0.02137774125387254,0.6439459094677088
"'cbo', 'npm' ",0.020046300379705374,0.6731682579566364
"'ic', 'max_cc' ",0.021691289339599497,0.6209802628103167
"'ca', 'amc' ",0.016742154067331493,0.6853937620177465
"'lcom3', 'dam' ",0.021998885537092006,0.6336751988165963
"'cbo', 'ic' ",0.021387181750407963,0.6374058248022714
"'dam', 'amc' ",0.017236705490165365,0.6738531311511723
"'cbo', 'lcom' ",0.019919760973929383,0.6715253297915298
"'noc', 'npm' ",0.022657696939025942,0.6164973579339719
"'dit', 'dam' ",0.022778506283309845,0.608817357467689
"'lcom', 'moa' ",0.022531504516222153,0.6231841887316265
"'noc', 'ic' ",0.023998578309728527,0.5557988026973097
"'lcom3', 'cam' ",0.019739119967437824,0.6792114077381032
"'ca', 'max_cc' ",0.02098574260642192,0.6262947055333117
"'dit', 'cam' ",0.020518740713655666,0.6698889510129182
"'rfc', 'dam' ",0.017586741127919768,0.6523126553068122
"'ce', 'lcom3' ",0.01849479929269486,0.6754525027749554
"'dam', 'max_cc' ",0.021480294029255796,0.6334043683456828
"'noc', 'ca' ",0.02329303157655095,0.5624135460061018
"'lcom', 'avg_cc' ",0.020179654308968786,0.6603165396433617
"'noc', 'loc' ",0.01888069593356743,0.6691491580713086
"'rfc', 'cam' ",0.01532697555826559,0.6957136124912486
"'moa', 'mfa' ",0.02174000991993117,0.6466501960693641
"'cbo', 'lcom3' ",0.019876752670651573,0.6764639561727372
"'mfa', 'cbm' ",0.02119206072284772,0.6512209370203006
"'dit', 'npm' ",0.021648620222950964,0.6385439984190715
"'max_cc', 'avg_cc' ",0.01961805449785476,0.6365805492446436
"'noc', 'lcom3' ",0.022488149229972137,0.6144082744785383
"'loc', 'amc' ",0.012329818424347971,0.7103943142536527
"'npm', 'ic' ",0.022379428556489514,0.6295564974920179
"'lcom', 'dam' ",0.02204189384036982,0.633852182303671
"'ca', 'ce' ",0.019299681639273675,0.6352197185363592
"'lcom3', 'loc' ",0.017091998471274614,0.6969875802930007
"'dit', 'ca' ",0.022283954860475977,0.6063973035970788
"'cbo', 'amc' ",0.01511457262372493,0.6875711081946501
"'dit', 'loc' ",0.017871619217492453,0.6970479534312006
"'loc', 'max_cc' ",0.0165734069634384,0.6848968761540981
"'lcom', 'cam' ",0.01978212827071564,0.6698898992906781
"'noc', 'amc' ",0.017725969183045497,0.6628157264488583
"'mfa', 'avg_cc' ",0.019388159712677808,0.6855975431539669
"'rfc', 'ca' ",0.0170921897050859,0.6612341323474682
"'npm', 'loc' ",0.017261546180328415,0.704129841146093
"'rfc', 'loc' ",0.012679854062102376,0.6907440170218313
"'dit', 'mfa' ",0.020730586220883994,0.6518261539791669
"'cbo', 'max_cc' ",0.01935816116281536,0.6587316179224965
"'loc', 'ic' ",0.018602427551031003,0.6899147879496288
"'ic', 'cbm' ",0.023450976095617276,0.571555030157959
"'npm', 'lcom3' ",0.020868999476733124,0.6657652785124261
"'amc', 'avg_cc' ",0.015374465958764332,0.6941954308974405
"'rfc', 'mfa' ",0.015538821065493917,0.7029634201434736
"'noc', 'max_cc' ",0.021969557722135928,0.6161018992947742
"'lcom', 'npm' ",0.020912007780010934,0.6553448825038801
"'moa', 'ic' ",0.02399892529270073,0.5878419977250455
"'ca', 'cbm' ",0.0227454293624397,0.5939721197681879
"'dit', 'noc' ",0.02326776997618998,0.5751883515651652
"'dam', 'cbm' ",0.023239980785273576,0.6071282495531043
"'noc', 'lcom' ",0.022531157533249954,0.6137473125314133
"'lcom', 'ca' ",0.021547342417535947,0.6293983577165709
"'cbo', 'rfc' ",0.015464608261479336,0.6794829885205511
"'mfa', 'cam' ",0.01899063367442466,0.7035402985472162
"'npm', 'amc' ",0.016106819429806483,0.7068436922892758
"'ic', 'avg_cc' ",0.021647075085447363,0.6398036213441758
"'lcom', 'loc' ",0.017135006774552423,0.7067055701310007
"'ca', 'moa' ",0.023293378559523154,0.5918548776762693
"'lcom3', 'max_cc' ",0.020180860259843107,0.6555234929076285
"'cbo', 'ce' ",0.01767210019566711,0.6289615132279424
"'dam', 'moa' ",0.023787929982357025,0.5847515737242737
"'lcom', 'mfa' ",0.019993973777943964,0.6852319137578797
"'ce', 'cam' ",0.017534467492453368,0.6894230065613183
"'cam', 'ic' ",0.021249549047194213,0.6589995513047485
"'npm', 'max_cc' ",0.02035040796889691,0.6500501450143903
"'lcom3', 'ic' ",0.02220988084743571,0.6414402885488582
"'ca', 'avg_cc' ",0.020941528352269787,0.6472649371778895
"'dam', 'avg_cc' ",0.02143607977510366,0.6488376505574663
"'dit', 'ic' ",0.022989501593653552,0.5769768718448627
"'dit', 'lcom' ",0.021522080817174973,0.6468508004617747
"'rfc', 'npm' ",0.016456855067560887,0.6906705139745761
"'ce', 'cbm' ",0.01973589454087643,0.638768120793625
"'rfc', 'ic' ",0.017797736438263476,0.6726679451564197
"'moa', 'amc' ",0.0177263161660177,0.6815096459626098
"'rfc', 'lcom' ",0.016330315661784896,0.6899658957240975
"'noc', 'cbo' ",0.02166545013294439,0.6182309003726603
"'ca', 'dam' ",0.02280376788367082,0.6038424582019244
"'cbo', 'cbm' ",0.02111784791883314,0.6437102081543145
"'ce', 'moa' ",0.02028384373795988,0.6426851030887735
"'loc', 'moa' ",0.01888104291653963,0.6736882931962256
"'noc', 'cbm' ",0.023729244478153708,0.5625453916844084
"'dit', 'lcom3' ",0.021479072513897163,0.6471940115020425
"'moa', 'max_cc' ",0.02196990470510813,0.6260737109854356
"'ca', 'cam' ",0.020544002314016638,0.6628382904955485
"'cbo', 'moa' ",0.02166579711591659,0.6447882250381822
"'dam', 'cam' ",0.021038553736850513,0.6597893416711831
"'ce', 'avg_cc' ",0.017931993530706514,0.679138775674022
"'rfc', 'lcom3' ",0.016287307358507086,0.6833253144500688
"'ce', 'mfa' ",0.017746312999681692,0.6814337943087052
"'noc', 'moa' ",0.02427719367523716,0.5572223388737296
"'cam', 'amc' ",0.014976939920511185,0.7110441279125845
